,K_ratio,K_r_e,K_rstar_e
5488,-3.4231975059231576,-7.732303133145686,-7.162720577412088
5907,-3.437660896549624,-6.189954110519838,-5.6472440825152335
15727,-3.417360526230939,-9.24723585569041,-8.714259563108328
16909,-3.430325828581817,-8.050010696666964,-7.558532087673929
17452,-3.421371336206408,-9.476626637037542,-8.973271932327005
32347,-3.4164643484506345,-9.346641257055769,-8.798166841592284
36671,-3.4271532189201714,-9.222279984371674,-8.68041576615342
38938,-3.440510968217125,-9.817265652922794,-9.308589668650214
39113,-3.436688563939597,-9.479352490678586,-8.92922274769127
40619,-3.434654313867632,-7.920909279038909,-7.360690715231833
40708,-3.426991451840331,-8.314421907523776,-7.799241456303445
41244,-3.4211182612040165,-11.130600563128386,-10.607304800609128
42510,-3.4303423773739303,-9.029969911898329,-8.476993580011136
43219,-3.4172768008753387,-6.991490081067866,-6.430658207253818
43470,-3.4404698962319142,-9.06842884787224,-8.520410124269228
47478,-3.421568990011614,-5.858979009881326,-5.295951896651257
47897,-3.425034578083946,-9.59578439809729,-9.025653429716888
62121,-3.431341290253898,-7.782484123798411,-7.284327377354034
68363,-3.4351895165631383,-8.461802943763505,-7.947991790382316
89591,-3.4364298864338685,-8.736621388072294,-8.190322879749129
