,K_ratio,K_r_e,K_rstar_e
5488,-4.527669447323128,-5.800596282707351,-6.094965365458008
5907,-4.560233415127295,-4.901625031385628,-5.328498769095668
15727,-4.713333742616373,-2.4587806908787275,-3.017288040469845
16909,-4.653257311824716,-6.103713081546438,-6.51680957044939
17452,-4.628932522802051,-2.8140889755665146,-3.2390471694711804
32347,-4.275969906529922,-2.6003162364449453,-2.4955965031682408
36671,-4.320226730490931,-7.282390557335311,-7.266966844644444
38938,-4.588720654247085,-3.06033493954614,-3.42164151135756
39113,-4.55794245369935,-2.5384146676616397,-2.7393791968174046
40619,-4.52925291319748,-3.611737204996645,-3.877822330441084
40708,-3.802688514244792,-6.526259724686241,-6.078114006741936
41244,-4.66438293016735,-6.448014441664091,-6.860100537679514
42510,-4.508251647418423,-6.878756342040558,-7.107677833267343
43219,-4.575640419306689,-5.155218517140851,-5.497115859991112
43470,-4.652177664037815,-3.5847394191381787,-3.968391403450595
47478,-4.207660395170663,-4.816601517538866,-4.687277073647663
47897,-4.176024206153224,-4.601429386454725,-4.454726998391032
62121,-4.479638782900921,-3.785593387140575,-3.9881211584012575
68363,-4.911650056261796,-5.389211261349095,-6.201525287591724
89591,-4.67041704029314,-6.194320570045785,-6.591971403227536
