,K_ratio,K_r_e,K_rstar_e
5488,-2.994625336330519,-10.464035392502584,-8.487779627276304
5907,-2.5604664023822146,-11.084465768302966,-8.877238405826256
15727,-2.529783225847741,-5.55808073128073,-3.562092257139604
16909,-2.59472725632348,-10.321780916703718,-8.152250111025541
17452,-2.854693801085736,-5.782970683082139,-3.787659293108808
32347,-2.6613907687578986,-5.62945258839459,-3.477120083257716
36671,-2.584502451197782,-10.069967232908084,-7.994163147408477
38938,-2.9448489016231005,-5.51713581624666,-3.663889243649989
39113,-2.7466333600676567,-5.101495234420647,-3.129561333971221
40619,-2.768437563255715,-7.858439376587674,-5.884527588199429
40708,-2.3991764449019453,-10.283889410555886,-7.954092613617487
41244,-2.53181521745716,-7.635546730904309,-5.433039549543929
42510,-2.563233900573236,-10.131898398852195,-7.873944983279158
43219,-2.898517382498056,-10.54210944351358,-8.541056717347997
43470,-2.7799001027331967,-6.837181156909482,-4.804731381866649
47478,-2.72033951360981,-11.197652146014542,-8.969331002838096
47897,-2.467365238904259,-7.271364028681208,-4.996120404920806
62121,-2.586223302802293,-8.12199610453762,-5.936189215360951
68363,-2.9052651614496767,-9.19446081949812,-7.378574939246956
89591,-2.7382321601104382,-9.786394805678771,-7.687910500814088
