,Unnamed: 0,index,genotype,operator,iptg,observable,protein,fx_saturation,fx_std_dev,fx_std_dev_true
0,0,0,Ihk,33,0,induction,310.3741807580025,0.03743858492272405,0.050430247454844174,0.012324186575807474
1,1,1,Ihk,33,1,induction,310.3741807580025,0.040732082805600416,0.050430247454844174,0.015014386651874632
2,2,2,Ihk,33,10,induction,310.3741807580025,0.08084168526247773,0.050430247454844174,0.05964927024821703
3,3,3,Ihk,33,50,induction,310.3741807580025,0.08370756502373107,0.050430247454844174,0.052237213988366483
4,4,4,Ihk,33,100,induction,310.3741807580025,0.041959629911078274,0.050430247454844174,0.01641600278101283
5,5,5,Ihk,33,1000,induction,310.3741807580025,0.03376807464884478,0.050430247454844174,0.009511652401524972
6,6,6,Ihk,33,10000,induction,310.3741807580025,0.03900545464908177,0.050430247454844174,0.007303451909575166
7,7,7,Ihk,33,50000,induction,310.3741807580025,0.11226861966259112,0.050430247454844174,0.016844929582657524
8,8,8,Ihk,33,100000,induction,310.3741807580025,0.1681470253322026,0.050430247454844174,0.03790830098747144
9,9,9,Ihk,33,500000,induction,310.3741807580025,0.26736637002745034,0.050430247454844174,0.015239413324383562
10,10,10,Ihk,33,1000000,induction,310.3741807580025,0.29560629078318673,0.050430247454844174,0.03697051550863023
11,11,11,Ihk,33,5000000,induction,310.3741807580025,0.2993828926428957,0.050430247454844174,0.02494259678314099
