,Unnamed: 0,index,genotype,operator,iptg,observable,protein,fx_saturation,fx_std_dev,fx_std_dev_true
0,0,0,mhL,33,0,induction,305.2375688695894,0.10332778841879116,0.03273618507369043,0.008413656356270201
1,1,1,mhL,33,1,induction,305.2375688695894,0.10093418683282764,0.03273618507369043,0.01071363510096698
2,2,2,mhL,33,10,induction,305.2375688695894,0.10562507931813092,0.03273618507369043,0.01005714429356403
3,3,3,mhL,33,50,induction,305.2375688695894,0.11065768488767436,0.03273618507369043,0.0076751705541927015
4,4,4,mhL,33,100,induction,305.2375688695894,0.10613391070705366,0.03273618507369043,0.008077658670107608
5,5,5,mhL,33,1000,induction,305.2375688695894,0.13156892563938868,0.03273618507369043,0.007577930657317166
6,6,6,mhL,33,10000,induction,305.2375688695894,0.19582440707876386,0.03273618507369043,0.01630508698199961
7,7,7,mhL,33,50000,induction,305.2375688695894,0.2180726474720338,0.03273618507369043,0.019735707931955542
8,8,8,mhL,33,100000,induction,305.2375688695894,0.23013751323932705,0.03273618507369043,0.005723877728696137
9,9,9,mhL,33,500000,induction,305.2375688695894,0.21692595467188885,0.03273618507369043,0.01640134721028096
10,10,10,mhL,33,1000000,induction,305.2375688695894,0.2311538192437621,0.03273618507369043,0.006699238046023849
11,11,11,mhL,33,5000000,induction,305.2375688695894,0.2216784343877439,0.03273618507369043,0.020297179570265743
