K_ratio,K_e_ratio
-3.657643068186408,0.6025927478755946
-3.8344946592523796,0.4862326325176213
-3.7049021426765667,0.5741270468737016
-3.724679287755252,0.5625818701684381
-3.746980596460367,0.5450364952975809
-3.7204944075183755,0.5626926919840467
-3.8003502016722233,0.509598337843215
-3.854222418079673,0.473020751407207
-3.760492059239835,0.5382866963829713
-3.7281911073781373,0.5596404329449342
-3.619950362849358,0.6312063715456012
-3.8952611096368224,0.4446311079205068
-3.847792291535825,0.47778320027527155
-3.7615945095448273,0.5379523792441825
-3.730791662320107,0.561213316482143
-3.7441376722075503,0.5497043319570176
-3.7590934761602433,0.5381122193963983
-3.733093131386626,0.5593292374858774
-3.70634369107245,0.5749809470390126
-3.6646144025073872,0.6023771399818532
-3.7776433246246905,0.5292311011895746
-3.749620254522032,0.5473527782855844
-3.7868722777916775,0.5182863939004174
-3.8336243334050906,0.48997732454416226
-3.8346568523223903,0.48696015553129557
-3.8261629098693275,0.49064950739363083
-3.716065867062392,0.5655160718988986
-3.7784097515732675,0.5300078324029983
-3.726288494861591,0.5600504707100264
-3.842240603649506,0.4851669145739636
-3.7064627047855354,0.5697019239581043
-3.7779128919257294,0.5269347965494192
-3.6793717783683997,0.5910525536770158
-3.7577136035483294,0.5427844340396839
-3.66485917811642,0.5995655992362606
-3.7458433314531754,0.54817494647545
-3.6977484702511854,0.5792834489802262
-3.8971777151807507,0.44359586697050424
-3.7895263685110954,0.5190225933392496
-3.706079429781286,0.5749304537317047
-3.7721551496634382,0.531203504795271
-3.765604642338606,0.531503056818197
-3.7734140187543677,0.526452563904215
-3.7449950480896703,0.5490053826962632
-3.8344946592523796,0.4862326325176213
-3.8215653298179673,0.49856041811667806
-3.680849927160946,0.5903930093686283
-3.760017712276195,0.5380456300283871
-3.690339067685072,0.5861393996178655
-3.5460881933713373,0.6797658912475572
-3.7692782491877006,0.5319362816926713
-3.739919813738294,0.5532168259066357
-3.6878690510267003,0.5857545326422
-3.7384695135056125,0.55375243760058
-3.74887074206796,0.5471147968095829
-3.696571858008156,0.5781072280075908
-3.6097721511701586,0.6367283405920394
-3.800129790195899,0.5116699183214214
-3.8030095941883006,0.5106020708385198
-3.704567405808174,0.5762271745641037
-3.6448940911723255,0.6104354075079698
-3.813090548948637,0.5000396149862978
-3.6908300779034775,0.5833506388759319
-3.775195988825164,0.5323306346100163
-3.7451118043587206,0.5470821473473938
-3.7885651730708956,0.5195990430840342
-3.7854081966930804,0.5183799599720669
-3.7994487634793,0.5099640459911827
-3.661540635249789,0.6022690732407617
-3.7556358622184893,0.5419004055032766
-3.7056918328169135,0.576844406140669
-3.699850052578748,0.5786220594864042
-3.8200378597336653,0.49808381362518617
-3.8125195481920415,0.5025130825079891
-3.730893899043498,0.5593880594223386
-3.7236629847428664,0.5632442481766432
-3.725035521879166,0.5568791971837195
-3.8055959696510437,0.510144275548993
-3.713416771746507,0.5685185724312003
-3.8363560062897166,0.4882451363528947
-3.6814731089442505,0.5924644936987322
-3.762636895381359,0.5358551504749371
-3.77973873398731,0.5273626828059084
-3.8370434750530547,0.4872544702149173
-3.7311035222003692,0.5575000528252445
-3.667387973649927,0.6018766579368453
-3.696317080198803,0.5833975649282301
-3.8767804650035944,0.45607939585598667
-3.7191251527352835,0.5647465274824508
-3.778859307493752,0.5239253340925163
-3.6653702897870275,0.6025633256972543
-3.7550244287874075,0.540754370634972
-3.7082431327288528,0.5737106553574072
-3.8232703053706234,0.49721800202291266
-3.813031525807505,0.4998664704717142
-3.7872486869222812,0.5200615263402474
-3.7419248441049238,0.5493291669042881
-3.727614014591764,0.5601613169180013
-3.7356742232839735,0.5564963341504926
-3.7309714714591107,0.5594428839886139
-3.8183556227538697,0.5002216189622487
-3.672446956004001,0.5962129001847535
-3.7295361452905755,0.5596765002566415
-3.723785015107795,0.5631734329043577
-3.722199815788033,0.5657010421059137
-3.661351282426279,0.6057853204947113
-3.786503590878011,0.5195861103228014
-3.7013884696296233,0.5772939285735735
-3.780820143025524,0.5253696948926817
-3.7453131385532337,0.550357335775948
-3.697577545197068,0.5854267017011959
-3.819095140506267,0.4996811010856291
-3.842649959767016,0.4835001568183513
-3.6198307537038006,0.6274457660035548
-3.628210700694365,0.6269770835363561
-3.624708126158282,0.628370034861816
-3.700844145398318,0.579603779890269
-3.623906824673903,0.6271824866117895
-3.718324829129571,0.5687547264655592
-3.7479199345273404,0.5503385420895429
-3.72514036562133,0.5639117164933847
-3.725171596440434,0.5662492587308
-3.793179506452016,0.5174730758557807
-3.808628992946142,0.5050989658887831
-3.6035445614398713,0.6446582750304456
-3.708260002081729,0.5757213473310638
-3.7044460843138105,0.5766277109141777
-3.714621171400356,0.5664198724256838
-3.688923306318355,0.5826012093878573
-3.6673324930356634,0.6026958638317884
-3.8132668077858813,0.500529866592652
-3.779349506034779,0.5266518556222648
-3.635796648164125,0.6203834096279288
