K_star,K_r_o,K_r_e,K_rstar_e
11.199221680903573,9.919666897609497,-12.075458824434442,-10.706338578907433
11.896131702116056,10.55441085114202,-12.556298778270703,-11.295060768195025
5.628765799074969,4.562567626451887,-11.160832132172242,-9.932803378981118
-7.442889512312437,-1.4457439025759398,-12.210209134834864,-7.243941735810778
-8.196589923343211,-1.4795452152495734,-11.965872043428813,-6.697667415042795
-6.518173536622177,-1.290253922377142,-11.189392833487736,-6.99254020227896
-1.874061487175973,-0.825339705295348,-11.378503942651538,-9.161848481813262
9.076284832730126,8.10519320127543,-11.457533646238174,-10.172490400173603
-5.04232919671854,-1.1510921268541703,-11.198114815155185,-7.626636146422673
13.106293563693555,11.444131322471184,-12.457413578692139,-11.332144257087881
3.8138881149984973,2.6342167584829683,-12.251423982794163,-10.906438224152557
-9.903931507869391,-0.9067290076454533,-10.70144045486808,-4.653311972196974
-9.810000486129669,-1.1166368719602113,-11.655640505268662,-5.5027819224493655
9.85694877958305,8.51070747284659,-12.92661810057717,-11.325506905434437
-4.77792796475015,-1.388223854077062,-10.671486130512818,-7.516746452311086
-6.677576784773217,-0.8900637288224253,-8.213969577261182,-3.872012442447738
0.3013586653257412,-0.22105253340272046,-11.838065421256935,-10.126246333673393
11.361914004591863,10.136484603759577,-11.082192206847584,-9.930711531855549
-7.291851232301182,-1.0922841508780672,-12.007016322557089,-6.915313642874791
12.009641909769208,10.98551426427766,-11.557736933734244,-10.319427554612528
-7.027410203684007,-1.4255773085935621,-11.547958398862304,-7.045233555250907
-9.579740053067486,-1.3982952393852048,-12.60921030077696,-6.491183852711243
6.787549266160543,5.716344278792985,-9.702491977615018,-8.661355055588837
7.735229589241357,6.510952006802857,-12.216658853445567,-10.85806750469797
0.6185339881018748,-0.0011798181895433801,-11.190980420337674,-9.866630003934421
8.838215066841279,7.520062187521989,-12.75083343553876,-11.309987358857892
-11.052937128789903,-1.0666161524214468,-12.010933615043545,-5.222369165764432
-2.6187051232812912,-0.9649482083177787,-11.586851513000594,-9.008399868923872
-6.276785778695198,-1.4317783588623703,-11.349811159411285,-7.220443162599738
8.190818699681618,7.092072691020778,-12.024335225102325,-10.710272059417521
-6.844752403403883,-1.0873560140055503,-11.970153766037956,-7.213698018639877
-10.410719149754112,-0.8614261032007065,-11.468133412391804,-4.930624189127197
4.421322164746443,2.832804196658733,-12.745458334810255,-11.44486735343196
-10.16350440987008,-0.7135331858175883,-11.724400035224981,-5.201666075335157
0.29355452935937265,-0.4186887313901093,-11.301362848562631,-9.93732632251848
14.270244727806253,12.877243008149069,-12.00197857232587,-10.94325552848494
-1.2006940047422114,-1.3678277376861592,-4.596926740496201,-3.239882941612751
0.8308128702323232,0.1775603808700178,-12.166184601868459,-10.507750029731833
-3.7804845595864407,-0.7511372865030991,-12.425532599340738,-8.790171021398411
3.734939941465621,2.520790742966465,-11.452734255552652,-10.229985926660452
-6.407321852451664,-1.206202275673684,-12.139791256919352,-7.5353229347160315
-6.465836666330517,-1.2538238827113422,-11.939361584836128,-7.409442193203415
3.8987510045511007,2.541470336614734,-12.32956316997297,-11.064574034963334
6.696319150582017,5.525024249773869,-11.485031151466076,-10.423308276773774
10.290915836222377,9.025094133483291,-11.875975412116905,-10.673183466282858
7.13434515979198,6.000027905035374,-12.593865196401216,-11.057502902787471
-4.437538850746589,-1.398775859574964,-11.839197160703007,-8.467842972517996
8.718586290077056,7.772627512792998,-11.141471312645916,-9.944407260823274
-8.871213139214099,-1.403260662272321,-12.035150277931766,-6.420551483779076
-7.333157093465173,-1.3991346531872093,-10.88358095931557,-6.411378496439901
-9.311726842734933,-1.503170037978079,-11.91870733537128,-6.190873491204829
4.592703995688897,3.147009082743521,-12.976136625148639,-11.47576826311693
-1.6043843577173984,-0.6875962720794315,-11.32180430571177,-9.2194915729273
-8.69792382924951,-1.450311400291478,-11.199236374902751,-5.957992826763401
-4.194333136385188,-1.1940450370725362,-11.68884103360256,-8.40686378347917
10.959854926887349,9.60710709733082,-11.817487711280043,-10.625919139206415
15.284618542616133,13.834634531772,-12.00448702430146,-10.825946176256505
-1.0287961769500589,-1.2201010745306735,-11.300555489070618,-9.755473217857022
