,K_star,K_r_o,K_r_e,K_rstar_e
0,9.195107261471499,6.009138838697936,-9.940496239951136,-10.7634538455971
1,3.3247460481064834,9.1306329608685,-12.939753290149548,-8.673662396154283
2,-15.18587109911746,-6.835096625571321,-8.319892625641083,-3.655572448566307
3,15.674251061500282,12.057220981659063,-5.445371631296055,-6.477634640910541
4,-2.394534777342237,5.412915564066898,-11.220518639485576,-6.416544508621796
5,-2.1811532567901875,3.4991433510946743,-7.622986736777168,-4.108617416798179
6,-2.1784920886386274,3.0136245860403115,-9.98617439273439,-6.565695789057608
7,16.241281318896217,13.11614582296701,-11.042113695754495,-11.812695980641191
8,18.740176003509067,15.24543798610495,-10.889250073698403,-11.769612854834097
9,-7.226182488562203,-5.9268041705249015,-6.0252287786379854,-4.991334867190459
10,-9.391073704172944,-11.624449428917229,-9.547420461975578,-9.881551500095686
11,19.212329203504087,16.248013469879908,-12.988118853618587,-13.025022384153004
12,-14.079201939941914,-8.532702962755074,-3.735653442593108,-0.14923688936745627
13,27.878374997930525,24.629167834199773,-11.060536395688446,-11.643767257932572
14,-15.170569758034771,-11.654736836529514,-10.643122695573037,-8.149509420267421
15,-11.844965868122035,-7.433111622985329,-8.242192871473726,-5.131344666520933
16,-7.466436119780641,-0.6258691986327212,-3.7305823711623,0.1824889463103485
17,-19.322137875111135,-12.921648236257475,-10.820052454876649,-7.026651379594004
18,-0.4521805720234475,5.641303616665992,-11.601264956846649,-7.562765306750224
19,8.32429610542887,5.236136456511748,-4.281981192483206,-4.909607360796043
20,2.1663769699429682,8.641858875381285,-8.585320618138473,-4.9222840697729575
21,-1.667439384515366,-4.961610564749811,-3.573779134242457,-4.446825744795919
22,11.654980341980792,8.487861092522412,-11.311861060028908,-11.720492913496294
23,-16.535571894655206,-11.765233214266555,-3.447321767321087,-0.5168609855999078
24,-16.99722306721392,-14.644505245737697,-4.615570656067534,-3.0623228932526017
25,4.686222580122378,11.076498279545213,-11.876047993768358,-7.781970145913496
26,-1.1193449093367995,3.4643004851543644,-10.267497962745407,-7.289030558033076
27,-10.683871089834373,-1.1921388278579261,-10.860888800870704,-5.188706982925203
28,-8.338085518745785,-0.3874175594101139,-9.50072931307475,-5.016034237125667
29,-0.1328022619318232,-3.389072347365613,-5.684365444242379,-6.752340805596947
30,-2.6165474232275816,5.4395863665324455,-5.601685164308371,-1.1133735922799266
31,-0.5557101644596543,-1.2804743797784408,-4.63097346653611,-3.8961253810078436
32,-7.560574237458091,-8.46611873134144,-6.625092710269051,-6.762805399012369
33,11.418418694191486,8.400889496877447,-3.637340594069176,-4.425726359361139
34,-5.813544951372614,-6.778710959123527,-5.824781613587747,-6.006516363193099
35,-20.55200176626186,-14.105773740285974,-7.0915211760688805,-3.497157784372905
36,-7.776496623380439,-3.9509331862457966,-7.874426557975285,-5.346725599999558
37,18.19194496850019,14.807461769241684,-11.835041359912703,-12.317516236872677
38,-9.978979594564208,-8.846575852457468,-2.6321415026325035,-1.7591499420726269
39,-6.896172811711612,-5.744582042783939,-3.128571905383886,-2.3721428188801976
40,23.71974249722428,20.80849734155538,-11.890222146922522,-12.354808173676624
41,-4.001122724401213,5.905706305368685,-9.300424520340787,-3.7535540316520155
42,14.487659477524545,11.333513267236205,-12.116510288238215,-12.711021168716016
43,4.766333044334957,1.4259473307632264,-7.607522476227421,-8.641471383211554
44,10.720231803377217,7.518947864270583,-11.0355009231562,-11.583615728026706
45,9.480509603368844,13.532228162566211,-12.070700233702793,-8.93263567911091
46,6.3917526009295855,9.340596156844637,-10.512029605635142,-8.23057100077951
47,-9.687036165934444,-8.119247333914144,-2.96249112784289,-1.7238173389002158
48,-6.998520259915406,-7.187420381451284,-5.669573823310886,-5.114033921821486
49,-0.7661622839637827,-3.844457006543501,-3.913255499150422,-4.556240239847288
50,22.060161991330865,18.51983823959903,-11.465133950810293,-12.461187966396825
51,6.004887173602499,2.427717394650977,-4.7814299452860425,-5.913437501233828
52,-7.729662985768972,-9.72277621174152,-10.060864717969224,-10.437358059410254
53,0.22018419101306552,-2.853873911295919,-5.863400406313446,-6.499736456115254
54,-1.01509390555894,-3.3827580801476165,-6.39977195701181,-6.852666422192602
55,-11.76472264601013,-11.520923209343456,-5.146781254126882,-4.374208044807391
56,18.527074944775674,15.054098872604424,-4.852979473178888,-5.535864834383515
57,23.934745670809335,20.982414785452093,-10.358240788138584,-11.056673490546803
58,6.310982241744558,3.219113484773901,-10.601410096250962,-11.269578570693646
59,1.9909637430148344,8.944901004503269,-10.988931758508974,-6.566763135278132
60,4.345556853020748,1.1388685917287287,-2.7581491757096988,-3.809556094798756
61,20.506143155025374,17.19367544910877,-11.907608223842855,-12.731232092170762
62,15.59903662875692,12.184035699494595,-12.098563719196877,-12.696974256278976
63,-4.73908011294321,0.3913021380015209,-9.916419502377206,-6.757119687265883
64,13.557580041348578,10.784001212894164,-10.660204793233875,-11.170587626864444
65,13.337811848795475,9.65572763077873,-6.914814513525332,-8.097634871710508
66,3.2691679783567613,3.8735838158081357,-7.266229896808989,-6.311592965512016
67,-7.390603357245123,-10.390578461765632,-5.570297388285954,-6.23058590246063
68,7.537340171370007,12.944699322653431,-11.42652379543454,-7.7056398287493195
69,-14.14690009438825,-6.0973261490419155,-3.838341760884278,0.8908324735741688
70,-12.64298746289747,-7.797129468681456,-10.145217832505883,-6.885073109804227
71,-2.487917824301933,-5.557837643572223,-11.138105292462376,-12.072436155224276
72,-9.45305604966465,-7.872979778462157,-7.222302874450316,-5.525994843399472
73,7.009898552691215,4.147745850438654,-6.543766460072008,-7.235355539533671
74,-9.60712812726294,-12.79570524961467,-8.823186102953022,-9.347802005085347
75,-11.308334269583586,-9.556562231144142,-7.362068571548792,-5.796086106380901
76,10.147031295193354,6.633773842971677,-5.394790693354994,-6.138769899732142
77,-12.52729595868895,-6.2646014243516674,-3.7272239984744786,0.04083741241127825
78,-0.4319227326283226,-3.499773251258281,-7.315394825531592,-7.715828714267561
79,6.922349900678974,5.052840674337671,-10.172692458229648,-10.449114552606856
80,0.6690503970098733,-2.3827192405824826,-4.962560793747489,-5.8451741348671495
81,-0.15641395678325765,-3.799926137939587,-4.675923957412294,-5.707315326192085
82,1.282924826507763,8.054517619363176,-10.421814631735346,-6.318431274131418
83,11.315862682231518,8.26223272415677,-10.01522724730607,-10.766197817181459
84,19.779297143238143,16.27475245377253,-10.672188911781394,-11.621807864933178
85,3.4079941077979115,3.6146537503292056,-11.122301633168671,-10.178713428578476
86,28.48192928300206,25.357136127885123,-11.297847088309142,-12.015807317565029
87,3.14805987868915,5.771405052977291,-7.791387658089247,-5.859489446090452
88,9.915502134901246,6.7592039118762655,-3.1982788041573347,-4.297433261497856
89,-7.296703484065838,-10.405991684075,-3.9361973730927478,-4.64514416110349
90,0.3257164104113066,-2.509631516838084,-4.161796399379744,-4.926855000147529
91,-2.878697133317722,6.137526031967068,-9.120330598552862,-3.9728942900189335
