K_star,K_r_o,K_r_e,K_rstar_e
13.537136976211947,9.409435669716949,-9.505119787805432,-8.164801442146063
-0.28644157840376927,-3.116521131785241,-5.451791138165087,-3.3572338115386735
-7.904893566174599,-3.5369637888662306,-3.2953987829266866,2.395918445730878
-10.836786810073164,-3.910619387224345,-10.348484279099594,-3.555290548188076
-2.751496081096614,-3.323897849246228,-10.958715113442189,-7.767557965050271
8.465228142247222,4.582100627947643,-8.021541669773717,-6.573724405373234
-1.486175316699656,-3.687497371581471,-8.872848047504116,-6.602583048238698
-9.692337506522453,-4.380003931391568,-3.378554703462994,2.643908641253603
-6.251695113437414,-3.64434262733675,-9.04981635501807,-4.211780855236318
4.72572885129314,1.2146829544206104,-5.251714113662329,-3.583593255506532
2.2418489638789065,-1.426860811039596,-4.452336069912081,-2.7828376371306165
-6.465634399664733,-3.671527662345051,-8.779009129462683,-3.8077844079849603
-4.261180042476727,-4.02859216357042,-8.657599658662235,-5.288376920350139
-1.0240544497044424,-4.0130072756603115,-7.8633315863256525,-5.911785615667851
2.8174249747975373,-1.2270570812662305,-10.509001068215387,-9.131075409957468
-11.348361906714,-4.133423186915602,-8.95615559232067,-2.0685232697398823
-6.463343792945941,-4.166280369967534,-10.136974689953075,-5.562872648136663
0.3865162252548977,-3.07787063407034,-3.719267398594635,-2.08730677234447
-0.5665529769584943,-3.3291352238592005,-7.796204207682674,-5.793482219832695
7.650735123933988,3.7549732598487187,-6.025368588414949,-4.551356964671111
12.98301488016918,9.814242736843749,-10.625994467239344,-8.668521839907488
16.88853648869641,13.235558372902666,-11.107665049858415,-9.062731585365876
-10.055745518082439,-4.090358275455098,-7.053891411410526,-0.7558203737631022
-11.352015068189695,-3.404888107374418,-4.385233382816311,2.9405414926243645
7.556296434074671,3.6537890991541753,-7.807522907836538,-6.300962942621615
-6.289412669965499,-3.640643964161376,-8.49608908192206,-3.9297231943204762
5.299647932476008,1.4531018489589753,-9.430632204018575,-8.04305318520181
-3.5422124525859235,-3.996794479704473,-8.815668324646548,-5.613812849038042
-10.134802400172644,-4.036333827230143,-8.321401730640064,-1.9740780849220068
1.4190521044022408,-2.214357511526239,-7.05191189742775,-5.467199772695775
6.289507429679446,2.1844123364663157,-10.456402813033243,-9.202667430319641
8.417332897878705,4.313665953470393,-9.870100160004295,-8.48487246506686
-1.2291443341455022,-3.0546090252628555,-5.0656667992188265,-2.6153692847286125
-5.277408426961813,-3.7669483297672604,-7.779608414266587,-3.6697637047779965
-10.354089286558494,-4.172235185762336,-11.29995880385498,-4.664445989420137
5.849492716753243,2.111243278407756,-8.497415157473913,-6.962227702300899
17.035802751295858,13.109947743782755,-11.58926137681506,-9.996359040563835
