,K_ratio,K_r_e,K_rstar_e
9293,-0.9485826644408332,-8.400914455188795,-6.998717335693041
12184,-0.976283802874223,-4.345001254216151,-2.998551564333623
19704,-0.9575641205867168,-8.612044656025425,-7.31948178844145
28572,-1.1624184923589302,-10.983023765462637,-9.647818604969828
30702,-0.9094826467346756,-6.042929605516127,-4.585258603850599
32281,-0.8985677548667731,-5.091220062976436,-3.781877123247003
45619,-1.1625872012427014,-7.228257521861444,-5.976930018389638
50665,-1.4260236346463504,-8.15955060731629,-7.046834751621224
67990,-0.9739116030754822,-9.286519891300085,-7.94167305201288
86318,-0.776546131946355,-4.73823282749181,-3.2589850474401225
87523,-0.98971585309738,-8.888057573666172,-7.572570423683393
