,K_ratio,K_r_e,K_rstar_e
9293,-1.5173766713000885,-12.131846668086595,-9.383106249295595
12184,-1.7728677052663786,-12.293188191129572,-9.573519116545054
19704,-1.7165936668716748,-12.14570307097173,-9.497216102668476
28572,-1.6646087462977943,-12.296246459989504,-9.513494853599832
30702,-1.4201415493504526,-12.20308929495684,-9.349663620713931
32281,-1.4650910001454684,-12.171612645761648,-9.368347813636376
45619,-1.5188287507311096,-12.277809799772497,-9.427258400371418
50665,-1.269531877110292,-12.170600701085334,-9.253780895161176
67990,-1.6731262562598743,-12.258404473354968,-9.508341726181891
86318,-1.6992193561024544,-12.184096981144355,-9.501816103906576
87523,-1.464180739251605,-12.31487360885238,-9.400391426498617
