,K_ratio,K_r_e,K_rstar_e
9293,-2.741704805547478,-9.099941392442506,-7.0015700967483685
12184,-2.5478778636207906,-4.322902585695216,-2.080489884885236
19704,-2.289693231980483,-9.944187963969895,-7.751217100045151
28572,-2.15311974418301,-10.77097259076525,-8.419170356745397
30702,-2.2806699491205067,-6.098091588659795,-3.885032955880269
32281,-2.206515557260314,-5.514452367757703,-3.122847473400899
45619,-2.5757136746518348,-7.305920593458483,-5.229264179599366
50665,-2.700924093163343,-7.798398872679694,-5.823460550964915
67990,-2.4441823310289164,-9.320197791000652,-7.044388278530652
86318,-2.743461787892069,-5.438665883248281,-3.3398540392659104
87523,-1.951678613475264,-8.728506672005828,-6.307105917917376
